City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
102,faya,SA,2019-12-31 06:04:34,18.39,42.45,57.2,71,0,4.7,clear sky,0.0,0.0
103,thompson,CA,2019-12-31 06:00:36,55.74,-97.86,6.8,84,90,3.36,light snow,0.0,0.0
104,bud,NO,2019-12-31 06:04:35,62.91,6.91,39.2,72,75,16.11,broken clouds,0.0,0.0
105,kapaa,US,2019-12-31 06:04:35,22.08,-159.32,78.8,73,90,5.82,overcast clouds,0.0,0.0
106,mount gambier,AU,2019-12-31 06:04:35,-37.83,140.78,68.0,40,75,14.99,broken clouds,0.0,0.0
107,kenora,CA,2019-12-31 06:04:36,49.76,-94.48,15.8,78,69,18.34,broken clouds,0.0,0.0
108,moose factory,CA,2019-12-31 06:04:36,51.26,-80.61,19.4,92,90,10.29,light snow,0.0,0.0
109,tasiilaq,GL,2019-12-31 06:04:36,65.61,-37.64,26.6,92,100,6.93,light snow,0.0,0.0
110,kavaratti,IN,2019-12-31 06:04:36,10.57,72.64,86.0,70,40,4.38,scattered clouds,0.0,0.0
111,mount isa,AU,2019-12-31 06:04:36,-20.73,139.49,100.85,17,40,9.62,scattered clouds,0.0,0.0
112,mayskiy,RU,2019-12-31 06:04:37,43.63,44.06,32.0,85,90,3.94,overcast clouds,0.0,0.0
113,serrana,BR,2019-12-31 06:04:37,-21.21,-47.61,73.4,83,96,5.82,overcast clouds,0.0,0.0
114,yellowknife,CA,2019-12-31 06:00:15,62.45,-114.38,9.0,92,90,5.82,light snow,0.0,0.0
115,rabo de peixe,PT,2019-12-31 06:04:38,37.8,-25.58,64.4,88,75,17.22,broken clouds,0.0,0.0
116,huangnihe,CN,2019-12-31 06:04:38,43.56,128.02,0.97,69,0,11.18,clear sky,0.0,0.0
117,mogadishu,SO,2019-12-31 06:03:47,2.04,45.34,82.4,65,20,17.22,few clouds,0.0,0.0
118,linqiong,CN,2019-12-31 06:04:38,30.42,103.46,61.0,66,40,5.35,haze,0.0,0.0
119,komsomolskiy,RU,2019-12-31 06:04:39,67.55,63.78,12.76,93,100,16.73,light snow,0.0,0.38
120,saldanha,PT,2019-12-31 06:04:39,41.42,-6.55,38.82,66,0,1.52,clear sky,0.0,0.0
121,port-gentil,GA,2019-12-31 06:04:39,-0.72,8.78,78.8,100,75,2.24,broken clouds,0.0,0.0
122,esperance,AU,2019-12-31 06:04:39,-33.86,121.89,77.0,36,0,10.29,clear sky,0.0,0.0
123,mehamn,NO,2019-12-31 06:04:40,71.03,27.85,24.42,82,100,12.84,overcast clouds,0.0,0.0
124,lasa,CY,2019-12-31 06:04:40,34.92,32.53,51.8,76,40,8.05,scattered clouds,0.0,0.0
125,chicama,PE,2019-12-31 06:04:40,-7.84,-79.15,69.8,88,20,8.05,mist,0.0,0.0
126,bethel,US,2019-12-31 06:04:41,60.79,-161.76,-5.8,83,1,17.22,clear sky,0.0,0.0
127,mikun,RU,2019-12-31 06:04:41,62.35,50.08,22.46,96,99,6.67,light snow,0.0,0.75
128,walvis bay,NA,2019-12-31 06:04:41,-22.95,14.51,61.0,93,90,9.17,overcast clouds,0.0,0.0
129,nikolskoye,RU,2019-12-31 06:04:42,59.7,30.79,39.2,86,90,15.66,overcast clouds,0.0,0.0
130,obo,CF,2019-12-31 06:04:42,5.39,26.49,73.27,24,74,5.41,broken clouds,0.0,0.0
131,ponta do sol,BR,2019-12-31 06:04:42,-20.63,-46.0,63.57,89,82,2.26,broken clouds,0.0,0.0
132,kavieng,PG,2019-12-31 06:04:42,-2.57,150.8,85.03,71,1,9.89,clear sky,0.0,0.0
133,pangnirtung,CA,2019-12-31 06:04:43,66.15,-65.72,-21.17,98,100,3.74,overcast clouds,0.0,0.0
134,port hardy,CA,2019-12-31 06:04:43,50.7,-127.42,44.6,100,90,20.8,light rain,0.0,0.0
135,mar del plata,AR,2019-12-31 06:04:43,-46.43,-67.52,54.82,78,0,11.79,clear sky,0.0,0.0
136,qaanaaq,GL,2019-12-31 06:04:43,77.48,-69.36,-36.26,90,98,3.62,overcast clouds,0.0,0.0
137,sitka,US,2019-12-31 06:04:44,37.17,-99.65,23.0,81,0,9.1,clear sky,0.0,0.0
138,bara,NG,2019-12-31 06:04:44,10.41,10.6,55.96,32,0,4.81,clear sky,0.0,0.0
139,cape town,ZA,2019-12-31 06:00:19,-33.93,18.42,70.0,63,20,18.34,few clouds,0.0,0.0
140,grand forks,US,2019-12-31 06:04:44,47.91,-97.06,14.0,92,90,20.8,light snow,0.0,0.0
141,constitucion,MX,2019-12-31 06:04:45,23.99,-104.67,46.51,55,0,4.54,clear sky,0.0,0.0
142,ilulissat,GL,2019-12-31 06:04:45,69.22,-51.1,19.4,73,100,20.8,snow,0.0,0.0
143,dauphin,CA,2019-12-31 06:04:45,51.15,-100.04,15.8,92,90,2.24,overcast clouds,0.0,0.0
144,dalvik,SE,2019-12-31 06:04:45,57.79,14.13,41.0,86,5,14.99,clear sky,0.0,0.0
145,havoysund,NO,2019-12-31 06:03:18,71.0,24.66,30.2,58,75,26.4,broken clouds,0.0,0.0
146,yumen,CN,2019-12-31 06:04:46,40.29,97.04,20.37,48,5,15.5,clear sky,0.0,0.0
147,novyye burasy,RU,2019-12-31 06:04:46,52.13,46.08,26.01,85,100,5.01,light snow,0.0,0.88
148,poum,MK,2019-12-31 06:04:46,41.28,20.71,24.8,58,0,4.7,clear sky,0.0,0.0
149,mahebourg,MU,2019-12-31 06:04:46,-20.41,57.7,81.0,88,75,12.75,shower rain,0.0,0.0
150,geraldton,CA,2019-12-31 06:04:47,49.72,-86.95,12.2,85,90,11.41,light snow,0.0,0.0
151,antalaha,MG,2019-12-31 06:04:47,-14.9,50.28,79.92,76,100,0.94,overcast clouds,0.0,0.0
152,ulladulla,AU,2019-12-31 06:04:47,-35.36,150.48,69.8,64,90,11.41,overcast clouds,0.0,0.0
153,tynda,RU,2019-12-31 06:04:47,55.15,124.74,-22.25,93,0,3.51,clear sky,0.0,0.0
154,price,US,2019-12-31 06:04:48,39.6,-110.81,17.01,78,1,6.93,clear sky,0.0,0.0
155,beipiao,CN,2019-12-31 06:04:48,41.8,120.76,11.46,63,0,9.69,clear sky,0.0,0.0
156,hlukhiv,UA,2019-12-31 06:04:48,51.68,33.91,31.91,77,97,16.93,overcast clouds,0.0,0.0
157,torbay,CA,2019-12-31 06:04:49,47.66,-52.73,34.0,86,90,20.8,overcast clouds,0.0,0.0
158,banda aceh,ID,2019-12-31 06:00:37,5.56,95.32,85.15,65,72,8.9,light rain,0.44,0.0
159,cherskiy,RU,2019-12-31 06:04:49,68.75,161.3,-34.87,96,0,5.17,clear sky,0.0,0.0
160,sao joao da barra,BR,2019-12-31 06:04:49,-21.64,-41.05,74.1,88,0,4.21,light rain,0.25,0.0
161,katsuura,JP,2019-12-31 06:04:50,33.93,134.5,46.4,49,75,28.86,broken clouds,0.0,0.0
162,broome,GB,2019-12-31 06:04:50,52.47,1.45,44.01,93,96,4.7,fog,0.0,0.0
163,orlik,PL,2019-12-31 06:04:50,53.95,17.74,42.8,81,75,32.21,broken clouds,0.0,0.0
164,bakchar,RU,2019-12-31 06:04:50,57.02,82.07,2.16,95,99,3.0,light snow,0.0,0.13
165,santa cruz do sul,BR,2019-12-31 06:04:51,-29.71,-52.43,70.0,87,64,3.02,broken clouds,0.0,0.0
166,pisco,PE,2019-12-31 06:04:51,-13.71,-76.2,70.0,88,40,6.93,scattered clouds,0.0,0.0
167,huarmey,PE,2019-12-31 06:04:51,-10.07,-78.15,65.91,90,71,1.97,broken clouds,0.0,0.0
168,bafia,CM,2019-12-31 06:04:51,4.74,11.22,70.99,89,82,1.66,broken clouds,0.0,0.0
169,inirida,CO,2019-12-31 06:04:51,3.87,-67.92,73.71,89,52,0.98,broken clouds,0.0,0.0
170,mandalgovi,MN,2019-12-31 06:04:52,45.76,106.27,9.48,60,12,4.97,few clouds,0.0,0.0
171,henties bay,NA,2019-12-31 06:04:52,-22.12,14.28,61.0,94,100,4.0,overcast clouds,0.0,0.0
172,castro,CL,2019-12-31 06:03:53,-42.48,-73.76,48.2,93,0,3.36,clear sky,0.0,0.0
173,guerrero negro,MX,2019-12-31 06:04:52,27.97,-114.04,55.6,70,10,0.76,clear sky,0.0,0.0
174,pareora,NZ,2019-12-31 06:04:53,-44.49,171.21,68.0,80,0,4.0,clear sky,0.0,0.0
175,williamsburg,US,2019-12-31 06:04:53,37.27,-76.71,55.0,87,1,3.67,clear sky,0.0,0.0
176,nakasongola,UG,2019-12-31 06:04:53,1.32,32.46,76.01,49,61,6.55,broken clouds,0.0,0.0
177,manali,IN,2019-12-31 06:04:53,32.25,77.19,42.01,24,100,6.22,overcast clouds,0.0,0.0
178,kokopo,PG,2019-12-31 06:04:54,-4.34,152.27,83.86,75,100,8.12,moderate rain,4.94,0.0
179,sterling,US,2019-12-31 06:04:54,39.0,-77.4,46.4,93,90,8.05,light rain,0.0,0.0
180,royan,FR,2019-12-31 06:04:54,45.62,-1.03,39.2,100,2,3.36,mist,0.0,0.0
181,port elizabeth,US,2019-12-31 06:04:54,39.31,-74.98,45.0,93,90,8.05,overcast clouds,0.0,0.0
182,hovd,NO,2019-12-31 06:04:55,63.83,10.7,39.99,64,75,38.03,broken clouds,0.0,0.0
183,verkhnyaya maksakovka,RU,2019-12-31 06:04:55,61.63,50.97,21.2,100,90,6.71,light shower snow,0.0,0.0
184,udachnyy,RU,2019-12-31 06:04:55,66.42,112.4,-34.6,65,0,4.47,clear sky,0.0,0.0
185,artesia,US,2019-12-31 06:04:55,32.84,-104.4,30.2,50,1,6.93,clear sky,0.0,0.0
186,mvuma,ZW,2019-12-31 06:04:56,-19.28,30.53,76.6,44,97,4.38,overcast clouds,0.0,0.0
187,mayo,CA,2019-12-31 06:04:56,63.59,-135.9,6.8,84,90,3.36,overcast clouds,0.0,0.0
188,georgetown,GY,2019-12-31 06:04:18,6.8,-58.16,75.2,94,40,4.7,scattered clouds,0.0,0.0
189,puerto del rosario,ES,2019-12-31 06:04:56,28.5,-13.86,62.6,82,40,8.05,scattered clouds,0.0,0.0
190,ostrovnoy,RU,2019-12-31 06:04:56,68.05,39.51,25.18,75,97,17.92,light snow,0.0,0.19
191,finschhafen,PG,2019-12-31 06:04:57,-6.6,147.85,85.5,63,69,2.21,broken clouds,0.0,0.0
192,saint-michel-des-saints,CA,2019-12-31 06:04:57,46.68,-73.92,21.96,93,99,13.22,snow,0.0,1.81
193,seoul,KR,2019-12-31 06:02:16,37.57,126.98,24.8,29,1,4.7,clear sky,0.0,0.0
194,temiscaming,CA,2019-12-31 06:04:57,46.72,-79.1,34.0,90,90,11.41,light snow,0.0,0.0
195,bhag,PK,2019-12-31 06:04:58,29.04,67.82,60.08,15,0,5.17,clear sky,0.0,0.0
196,qasigiannguit,GL,2019-12-31 06:04:58,68.82,-51.19,19.4,73,100,20.8,snow,0.0,0.0
197,dryden,CA,2019-12-31 06:04:58,49.79,-92.84,14.0,85,40,9.17,scattered clouds,0.0,0.0
198,lompoc,US,2019-12-31 06:01:36,34.64,-120.46,53.6,66,1,4.7,clear sky,0.0,0.0
199,quatre cocos,MU,2019-12-31 06:04:59,-20.21,57.76,81.0,88,75,12.75,shower rain,0.0,0.0
200,capissayan,PH,2019-12-31 06:04:59,18.05,121.82,79.45,72,9,6.53,light rain,1.5,0.0
201,nuuk,GL,2019-12-31 06:04:59,64.17,-51.74,23.0,85,100,6.93,light snow,0.0,0.0
202,berlevag,NO,2019-12-31 06:05:00,70.86,29.09,29.68,74,100,20.6,light snow,0.0,0.13
203,nouadhibou,MR,2019-12-31 06:05:00,20.93,-17.03,64.4,31,48,17.22,scattered clouds,0.0,0.0
204,ponta delgada,PT,2019-12-31 06:05:00,37.73,-25.67,64.4,88,75,17.22,broken clouds,0.0,0.0
205,faanui,PF,2019-12-31 06:05:00,-16.48,-151.75,81.25,78,100,15.68,moderate rain,4.31,0.0
206,saint-philippe,CA,2019-12-31 06:05:01,45.36,-73.48,32.0,100,90,10.29,light snow,0.0,0.0
207,millinocket,US,2019-12-31 06:05:01,45.66,-68.71,27.0,79,90,5.82,light rain,0.0,0.0
208,ust-nera,RU,2019-12-31 06:05:01,64.57,143.24,-29.88,97,92,0.96,overcast clouds,0.0,0.0
209,westport,US,2019-12-31 06:05:02,41.14,-73.36,39.2,86,90,14.99,overcast clouds,0.0,0.0
210,lorengau,PG,2019-12-31 06:05:02,-2.02,147.27,84.87,70,48,6.96,light rain,0.19,0.0
211,port lincoln,AU,2019-12-31 06:05:02,-34.72,135.86,67.03,51,0,15.64,clear sky,0.0,0.0
212,shagonar,RU,2019-12-31 06:05:02,51.54,92.92,-10.43,93,100,2.84,overcast clouds,0.0,0.0
213,la tuque,CA,2019-12-31 06:05:03,47.44,-72.79,21.31,92,100,12.82,light snow,0.0,0.44
214,verkhnetulomskiy,RU,2019-12-31 06:05:03,68.61,31.8,14.0,78,95,4.47,overcast clouds,0.0,0.0
215,sistranda,NO,2019-12-31 06:05:03,63.73,8.83,39.99,76,75,29.97,light intensity shower rain,0.0,0.0
216,ribeira grande,PT,2019-12-31 06:05:04,38.52,-28.7,60.66,92,100,17.47,light rain,0.56,0.0
217,airai,TL,2019-12-31 06:05:04,-8.93,125.41,79.63,71,91,4.45,light rain,2.13,0.0
218,tazmalt,DZ,2019-12-31 06:05:04,36.39,4.4,57.2,58,40,9.17,scattered clouds,0.0,0.0
219,astana,KZ,2019-12-31 06:05:05,51.13,71.43,3.2,77,90,11.18,light snow,0.0,0.0
220,bubaque,GW,2019-12-31 06:05:05,11.28,-15.83,79.07,43,21,17.31,few clouds,0.0,0.0
221,vestmannaeyjar,IS,2019-12-31 06:05:05,63.44,-20.27,45.88,91,100,32.03,moderate rain,4.81,0.0
222,new norfolk,AU,2019-12-31 06:05:06,-42.78,147.06,69.8,22,40,19.46,scattered clouds,0.0,0.0
223,mancora,PE,2019-12-31 06:05:06,-4.1,-81.05,76.87,70,84,9.46,broken clouds,0.0,0.0
224,itacarambi,BR,2019-12-31 06:05:06,-15.1,-44.09,65.5,93,25,1.9,scattered clouds,0.0,0.0
225,termiz,AF,2019-12-31 06:05:06,37.23,67.28,50.0,75,40,2.24,scattered clouds,0.0,0.0
226,argelia,CO,2019-12-31 06:05:07,4.73,-76.12,66.2,100,75,4.7,drizzle,0.0,0.0
227,methoni,GR,2019-12-31 06:05:07,36.82,21.7,42.8,60,20,5.82,few clouds,0.0,0.0
228,iskateley,RU,2019-12-31 06:05:07,67.68,53.15,19.78,91,100,7.9,light snow,0.0,0.19
229,rock sound,BS,2019-12-31 06:05:07,24.9,-76.2,76.48,76,33,13.35,scattered clouds,0.0,0.0
230,hilo,US,2019-12-31 06:05:08,19.71,-155.08,73.4,78,75,5.14,broken clouds,0.0,0.0
231,goure,NE,2019-12-31 06:05:08,13.98,10.27,60.01,30,42,11.99,scattered clouds,0.0,0.0
232,eureka,US,2019-12-31 06:01:43,40.8,-124.16,48.0,100,90,6.93,overcast clouds,0.0,0.0
233,lebu,ET,2019-12-31 06:05:08,8.96,38.73,59.56,57,15,4.18,few clouds,0.0,0.0
234,hobyo,SO,2019-12-31 06:05:08,5.35,48.53,82.89,68,10,19.01,light rain,0.63,0.0
235,tijara,IN,2019-12-31 06:05:09,27.94,76.85,54.0,6,0,6.51,clear sky,0.0,0.0
